symbol,isotope,most_abundant,nuclear_charge
H,1,1,1
H,2,0,1
H,3,0,1
H,4,0,1
He,3,0,2
He,4,1,2
He,5,0,2
He,6,0,2
He,8,0,2
He,10,0,2
Li,4,0,3
Li,5,0,3
Li,6,0,3
Li,7,1,3
Li,8,0,3
Li,9,0,3
Li,11,0,3
Be,6,0,4
Be,7,0,4
Be,8,0,4
Be,9,1,4
Be,10,0,4
Be,11,0,4
Be,12,0,4
Be,14,0,4
B,8,0,5
B,9,0,5
B,10,0,5
B,11,1,5
B,12,0,5
B,13,0,5
B,14,0,5
B,16,0,5
C,8,0,6
C,10,0,6
C,11,0,6
C,12,1,6
C,13,0,6
C,14,0,6
C,15,0,6
C,16,0,6
C,18,0,6
C,20,0,6
C,22,0,6
N,12,0,7
N,13,0,7
N,14,1,7
N,15,0,7
N,16,0,7
N,17,0,7
N,18,0,7
O,12,0,8
O,14,0,8
O,15,0,8
O,16,1,8
O,17,0,8
O,18,0,8
O,19,0,8
O,20,0,8
O,22,0,8
O,24,0,8
O,26,0,8
F,16,0,9
F,17,0,9
F,18,0,9
F,19,1,9
F,20,0,9
F,21,0,9
F,26,0,9
Ne,16,0,10
Ne,17,0,10
Ne,18,0,10
Ne,19,0,10
Ne,20,1,10
Ne,21,0,10
Ne,22,0,10
Ne,23,0,10
Ne,24,0,10
Ne,26,0,10
Ne,28,0,10
Ne,30,0,10
Ne,32,0,10
Ne,34,0,10
Na,20,0,11
Na,21,0,11
Na,22,0,11
Na,23,1,11
Na,24,0,11
Na,25,0,11
Na,26,0,11
Na,27,0,11
Na,28,0,11
Na,29,0,11
Na,30,0,11
Na,31,0,11
Mg,20,0,12
Mg,21,0,12
Mg,22,0,12
Mg,23,0,12
Mg,24,1,12
Mg,25,0,12
Mg,26,0,12
Mg,27,0,12
Mg,28,0,12
Mg,29,0,12
Mg,30,0,12
Mg,32,0,12
Mg,34,0,12
Mg,36,0,12
Mg,38,0,12
Mg,40,0,12
Al,23,0,13
Al,24,0,13
Al,25,0,13
Al,26,0,13
Al,27,1,13
Al,28,0,13
Al,29,0,13
Al,30,0,13
Al,32,0,13
Si,22,0,14
Si,24,0,14
Si,25,0,14
Si,26,0,14
Si,27,0,14
Si,28,1,14
Si,29,0,14
Si,30,0,14
Si,31,0,14
Si,32,0,14
Si,34,0,14
Si,36,0,14
Si,38,0,14
Si,40,0,14
Si,42,0,14
Si,44,0,14
P,27,0,15
P,28,0,15
P,29,0,15
P,30,0,15
P,31,1,15
P,32,0,15
P,33,0,15
P,34,0,15
P,35,0,15
P,36,0,15
S,28,0,16
S,29,0,16
S,30,0,16
S,31,0,16
S,32,1,16
S,33,0,16
S,34,0,16
S,35,0,16
S,36,0,16
S,37,0,16
S,38,0,16
S,40,0,16
S,42,0,16
S,44,0,16
S,46,0,16
S,48,0,16
Cl,32,0,17
Cl,33,0,17
Cl,34,0,17
Cl,35,1,17
Cl,36,0,17
Cl,37,0,17
Cl,38,0,17
Cl,39,0,17
Cl,40,0,17
Ar,31,0,18
Ar,32,0,18
Ar,33,0,18
Ar,34,0,18
Ar,35,0,18
Ar,36,0,18
Ar,37,0,18
Ar,38,0,18
Ar,39,0,18
Ar,40,1,18
Ar,41,0,18
Ar,42,0,18
Ar,44,0,18
Ar,46,0,18
Ar,48,0,18
Ar,50,0,18
Ar,52,0,18
K,35,0,19
K,36,0,19
K,37,0,19
K,38,0,19
K,39,1,19
K,40,0,19
K,41,0,19
K,42,0,19
K,43,0,19
K,44,0,19
K,45,0,19
K,47,0,19
Ca,34,0,20
Ca,36,0,20
Ca,37,0,20
Ca,38,0,20
Ca,39,0,20
Ca,40,1,20
Ca,41,0,20
Ca,42,0,20
Ca,43,0,20
Ca,44,0,20
Ca,45,0,20
Ca,46,0,20
Ca,47,0,20
Ca,48,0,20
Ca,49,0,20
Ca,50,0,20
Ca,52,0,20
Ca,54,0,20
Ca,56,0,20
Sc,40,0,21
Sc,41,0,21
Sc,42,0,21
Sc,43,0,21
Sc,44,0,21
Sc,45,1,21
Sc,46,0,21
Sc,47,0,21
Sc,48,0,21
Sc,49,0,21
Sc,50,0,21
Ti,38,0,22
Ti,40,0,22
Ti,41,0,22
Ti,42,0,22
Ti,43,0,22
Ti,44,0,22
Ti,45,0,22
Ti,46,1,22
Ti,47,0,22
Ti,48,0,22
Ti,49,0,22
Ti,50,0,22
Ti,51,0,22
Ti,52,0,22
Ti,54,0,22
Ti,56,0,22
Ti,58,0,22
Ti,60,0,22
V,45,0,23
V,46,0,23
V,47,0,23
V,48,0,23
V,49,0,23
V,50,0,23
V,51,1,23
V,52,0,23
V,53,0,23
V,54,0,23
V,56,0,23
Cr,42,0,24
Cr,44,0,24
Cr,46,0,24
Cr,47,0,24
Cr,48,0,24
Cr,49,0,24
Cr,50,0,24
Cr,51,0,24
Cr,52,0,24
Cr,53,1,24
Cr,54,0,24
Cr,55,0,24
